"Save and Continue Edit","Save and Continue Edit"
"Category Information","Category Information"
"Exclude Categories","Exclude Categories"
General,General
"General Information","General Information"
Code,Code
Name,Name
"Rename Categories","Rename Categories"
"Use Google Taxonomy Categories Names","Use Google Taxonomy Categories Names"
Yes,Yes
No,No
"Google Taxonomy source:","Google Taxonomy source:"
Feeds,Feeds
"Add New Feed","Add New Feed"
Generate,Generate
"Preview Feed","Preview Feed"
"Feed Information","Feed Information"
Analytics,Analytics
"Google Analytics","Google Analytics"
"Campaign Source","Campaign Source"
"<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> google","<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> google"
"Campaign Medium","Campaign Medium"
"<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> cpc","<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> cpc"
"Campaign Term","Campaign Term"
"Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> running+shoes","Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> running+shoes"
"Campaign Content","Campaign Content"
"Used for A/B testing and content-targeted ads. Use <b>utm_content</b> to differentiate ads or links that point to the same URL.<br/><i>Example:</i> logolink <i>or</i> textlink","Used for A/B testing and content-targeted ads. Use <b>utm_content</b> to differentiate ads or links that point to the same URL.<br/><i>Example:</i> logolink <i>or</i> textlink"
"Campaign Name","Campaign Name"
"Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> spring_sale","Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> spring_sale"
"Test connection","Test connection"
Conditions,Conditions
"Conditions (don't add conditions if need export all products)","Conditions (don't add conditions if need export all products)"
From,From
To,To
Text,Text
Empty,Empty
"Not Empty","Not Empty"
"Max Length","Max Length"
Content,Content
Options,Options
