"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun möchten?"
"Delete Consent","Einwilligung löschen"
"Personal Data","Persönliche Daten"
Anonymise,Anonymisieren
"Are you sure you want to anonymise personal data?","Sind Sie sicher, dass Sie personenbezogene Daten anonymisieren möchten?"
Download,Herunterladen
Delete,Löschen
"Are you sure you want to delete personal data? (Personal data in previously created orders, invoices, shipments and credit memos will be anonymised then.)","Sind Sie sicher, dass Sie persönliche Daten löschen möchten? (Personenbezogene Daten in zuvor erstellten Bestellungen, Rechnungen, Sendungen und Gutschriften werden dann anonymisiert.)"
Clone,Kopieren
"Save and Continue Edit","Speichern und weiter bearbeiten"
Save,Speichern
Send,Senden
"We would like to inform you that our Privacy Policy has been amended.","Wir möchten Sie darüber informieren, dass unsere Datenschutzrichtlinien geändert wurden."
"Please, read and accept the new terms.","Bitte lesen und akzeptieren Sie die neuen Bedingungen."
"Policies text","Richtlinientext"
"Here you can download a copy of your personal data which we store for your order in CSV format.","Hier können Sie eine Kopie Ihrer persönlichen Daten, die wir für Ihre Bestellung speichern, im CSV-Format herunterladen."
"Here you can download a copy of your personal data which we store for your account in CSV format.","Hier können Sie eine Kopie Ihrer personenbezogenen Daten herunterladen, die wir für Ihr Konto im CSV-Format speichern."
"Download personal data","Persönliche Daten herunterladen"
"Merge into one file","In einer Datei zusammenfassen"
"Anonymise personal data","Personenbezogene Daten anonymisieren"
"By clicking ‘Agree and Proceed’ you agree that your personal data will be replaced with non-personal anonymous information. When you receive a new login email, your email address and all other personal data will be deleted from the website.","Ihre personenbezogenen Daten werden durch nicht personenbezogene anonyme Informationen ersetzt. Wenn Sie ein neues Login per E-Mail erhalten, werden Ihre E-Mail-Adresse und alle anderen persönlichen Daten von der Website entfernt."
"I agree and I want to proceed","Ich stimme zu und möchte fortfahren"
Agree and Proceed,Fortfahren
"Delete account","Konto löschen"
"By clicking 'Agree and Submit request' button you agree that all your orders, personal data and other information associated with your account or purchases will be lost. You will not be able to regain access to your account after we approve your deletion request.","Alle Ihre Bestellungen, persönlichen Daten und andere Informationen im Zusammenhang mit Ihrem Konto oder Ihren Einkäufen gehen verloren. Sie können den Zugriff auf Ihr Konto nicht wiederherstellen, nachdem wir Ihren Antrag auf Entfernung genehmigt haben."
"I understand and I want to delete my account","Ich habe verstanden und möchte mein Konto löschen"
"Agree and Submit request","Anfrage einreichen"
"Given Consent","Einwilligung erteilt"
"Here you can opt in or opt out from consents that were previously given.","Hier können Sie sich von zuvor erteilten Einwilligungen ein- oder austragen."
"Send Email","E-Mail senden"
"Action Log","Aktionsprotokoll"
"Action logs was successfully removed.","Aktionsprotokolle wurden erfolgreich entfernt."
"Consent Log","Zustimmungsprotokoll"
"Consent logs was successfully removed.","Einwilligungsprotokolle wurden erfolgreich entfernt."
"Customers Consents Email Queue","E-Mail-Warteschlange für Kundenzustimmungen"
"%1 customer(s) has been successfully added to email queue","%1 Kunde(n) wurde(n) erfolgreich zur E-Mail-Warteschlange hinzugefügt"
"You have successfully deleted the consent","Sie haben die Einwilligung erfolgreich gelöscht"
"We can't delete item right now. Please review the log and try again.","Wir können das Element momentan nicht löschen. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut."
"Edit Consent","Einwilligung bearbeiten"
"This consent no longer exists...","Diese Einwilligung besteht nicht mehr..."
"New Consent","Neue Einwilligung"
"Consent Checkboxes","Zustimmungs-Checkboxen"
"An error has occurred","Ein Fehler ist aufgetreten"
"You saved the consent.","Sie haben die Einwilligung gespeichert."
"Consent with code %1 already exists.","Zustimmung mit Code %1 existiert bereits."
"Cookie Policy Consents","Zustimmung zur Cookie-Richtlinien"
"Personal data cannot be anonymised right now, because the customer has non-completed order(s): %1","Personenbezogene Daten können derzeit nicht anonymisiert werden, da der Kunde noch nicht abgeschlossene Bestellung(en) hat: %1"
"Personal data cannot be anonymised right now, because the customer has active Gift Registry.","Personenbezogene Daten können derzeit nicht anonymisiert werden, da der Kunde über eine aktive Geschenkliste verfügt."
"An error has occurred: %1","Ein Fehler ist aufgetreten: %1"
"Personal data cannot be deleted right now, because the customer has non-completed order(s): %1","Persönliche Daten können derzeit nicht gelöscht werden, da der Kunde noch nicht abgeschlossene Bestellung(en) hat: %1"
"Personal data cannot be deleted right now, because the customer has active Gift Registry.","Persönliche Daten können derzeit nicht gelöscht werden, da der Kunde über eine aktive Geschenkliste verfügt."
"This policy no longer exists.","Diese Richtlinie existiert nicht mehr."
"You deleted the policy.","Sie haben die Richtlinie gelöscht."
"New Privacy Policy","Neue Datenschutzrichtlinie"
"Edit Privacy Policy %1","Datenschutzrichtlinie %1 bearbeiten"
"Privacy Policy","Datenschutz-Bestimmungen"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"Something went wrong while saving the question.","Beim Speichern der Frage ist ein Fehler aufgetreten."
"%1 policies(s) has been successfully deleted","%1 Richtlinie(n) wurde(n) erfolgreich gelöscht"
"Privacy policy with the same version already exists.","Datenschutzerklärung mit der gleichen Version existiert bereits."
"You saved the item.","Sie haben das Element gespeichert."
"%1 customer(s) has been successfully deleted","%1 Kunde(n) wurde(n) erfolgreich gelöscht"
"%1 customer(s) has not been successfully deleted, because they have non-completed order(s)","%1 Kunde(n) wurde(n) nicht erfolgreich gelöscht, da sie nicht abgeschlossene Bestellung(en) haben"
"Delete Requests","Anfragen löschen"
"Deny Delete Requests","Löschanforderungen ablehnen"
"An error has occurred. Please check logs for more details","Ein Fehler ist aufgetreten. Bitte überprüfen Sie die Protokolle für weitere Details"
"%1 email(s) has been sent","%1 E-Mail(s) wurde(n) gesendet"
"Invalid Form Key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"Access denied.","Zugriff verweigert."
"Wrong Password. Please recheck it.","Falsches Passwort. Bitte überprüfen Sie es erneut."
"Your delete account request is awaiting for the review by the administrator.","Ihr Antrag auf Kontolöschung wartet auf die Überprüfung durch den Administrator."
"We can not process your account deletion request right now, because you have active Gift Registry.","Wir können Ihren Antrag auf Kontolöschung derzeit nicht bearbeiten, da Sie eine aktive Geschenkliste haben."
"Thank you, your account delete request was recorded.","Vielen Dank, Ihre Anfrage zum Löschen Ihres Kontos wurde aufgezeichnet."
"Something went wrong.","Etwas ist schief gelaufen."
"We can not anonymize your account right now, because you have non-completed order(s):%1","Wir können Ihr Konto derzeit nicht anonymisieren, da Sie noch nicht abgeschlossene Bestellungen haben: %1"
"We can not anonymize your account right now, because you have active Gift Registry","Wir können Ihr Konto derzeit nicht anonymisieren, da Sie eine aktive Geschenkliste haben"
"We can not anonymize order","Wir können die Bestellung nicht anonymisieren"
"Anonymization was successful","Die Anonymisierung war erfolgreich"
"Thank you for your cooperation. Your consent was recorded.","Danke für Ihre Kooperation. Ihre Einwilligung wurde protokolliert."
"Changes has been saved.","Änderungen wurden gespeichert."
"Invalid Policy version.","Ungültige Richtlinienversion."
"Invalid Policy action.","Ungültige Richtlinienaktion."
"Privacy policy accepted.","Datenschutzbestimmungen akzeptiert."
"Unable to save actionLog with ID %1. Error: %2","Aktionsprotokoll mit ID %1 kann nicht gespeichert werden. Fehler: %2"
"Unable to save new actionLog. Error: %1","Neues Aktionsprotokoll kann nicht gespeichert werden. Fehler: %1"
"ActionLog with specified ID ""%1"" not found.","Aktionsprotokoll mit angegebener ID ""%1"" nicht gefunden."
"Unable to remove actionLog with ID %1. Error: %2","Aktionsprotokoll mit ID %1 kann nicht entfernt werden. Fehler: %2"
"Unable to remove actionLog. Error: %1","Aktionsprotokoll kann nicht gelöscht werden. Fehler: %1"
"The ""%1"" anonymization type isn't defined. Verify the type and try again.","Der Anonymisierungstyp „%1“ ist nicht definiert. Überprüfen Sie den Typ und versuchen Sie es erneut."
"Delete Request Submitted","Löschanfrage übermittelt"
"Delete Request Approved","Löschanforderung genehmigt"
"Delete Request Denied","Löschanforderung abgelehnt"
"Data Anonymised by Customer","Daten anonymisiert durch den Kunden"
"Data Anonymised by Admin","Daten anonymisiert durch den Administrator"
"Data Anonymised by Guest","Daten anonymisiert durch den Gast"
"Failed Data Anonymization by Guest","Fehlgeschlagene Datenanonymisierung durch den Gast"
"Failed Data Anonymization by Customer","Fehlgeschlagene Datenanonymisierung durch den Kunden"
"Personal Data Deleted by Admin","Persönliche Daten vom Administrator gelöscht"
"Personal Data Downloaded by Customer","Vom Kunden heruntergeladene personenbezogene Daten"
"Personal Data Downloaded by Guest","Vom Gast heruntergeladene personenbezogene Daten"
"Automatic Delete","Automatisches Löschen"
"Customer's Request","Kundenwunsch"
Pending,Ausstehend
Success,Erfolg
Fail,Fehlgeschlagen
Allow,Erlauben
"Don't Allow for Statuses","Status nicht zulassen"
"Don't Delete","Nicht löschen"
"Yes (Recommended)","Ja (empfohlen)"
No,Nein
"[STORE VIEW]","[STORE VIEW]"
"Consent with specified ID ""%1"" not found.","Zustimmung mit angegebener ID ""%1"" nicht gefunden."
"Consent with consent code %1 not found","Zustimmung mit Zustimmungscode %1 nicht gefunden"
"Unable to remove model without id","Modell kann ohne ID nicht entfernt werden"
"Unable to remove consent, message is %1","Zustimmung kann nicht entfernt werden, Nachricht ist %1"
"Unable to save consent with ID %1. Error: %2","Zustimmung mit ID %1 kann nicht gespeichert werden. Fehler: %2"
"Unable to save new consent. Error: %1","Neue Zustimmung kann nicht gespeichert werden. Fehler: %1"
