"Are you sure you want to do this?","Are you sure you want to do this?"
"Delete Consent","Delete Consent"
"Personal Data","Personal Data"
Anonymise,Anonymise
"Are you sure you want to anonymise personal data?","Are you sure you want to anonymise personal data?"
Download,Download
Delete,Delete
"Are you sure you want to delete personal data? (Personal data in previously created orders, invoices, shipments and credit memos will be anonymised then.)","Are you sure you want to delete personal data? (Personal data in previously created orders, invoices, shipments and credit memos will be anonymised then.)"
Clone,Clone
"Save and Continue Edit","Save and Continue Edit"
Save,Save
Send,Send
"We would like to inform you that our Privacy Policy has been amended.","We would like to inform you that our Privacy Policy has been amended."
"Please, read and accept the new terms.","Please, read and accept the new terms."
"Policies text","Policies text"
"Here you can download a copy of your personal data which we store for your order in CSV format.","Here you can download a copy of your personal data which we store for your order in CSV format."
"Here you can download a copy of your personal data which we store for your account in CSV format.","Here you can download a copy of your personal data which we store for your account in CSV format."
"Download personal data","Download personal data"
"Merge into one file","Merge into one file"
"Anonymise personal data","Anonymise personal data"
"By clicking ‘Agree and Proceed’ you agree that your personal data will be replaced with non-personal anonymous information. When you receive a new login email, your email address and all other personal data will be deleted from the website.","By clicking ‘Agree and Proceed’ you agree that your personal data will be replaced with non-personal anonymous information. When you receive a new login email, your email address and all other personal data will be deleted from the website."
"I agree and I want to proceed","I agree and I want to proceed"
"Agree and Proceed","Agree and Proceed"
"Delete account","Delete account"
"By clicking ‘Agree and Submit request‘ button you agree that all your orders, personal data and other information associated with your account or purchases will be lost. You will not be able to regain access to your account after we approve your deletion request.","By clicking ‘Agree and Submit request‘ button you agree that all your orders, personal data and other information associated with your account or purchases will be lost. You will not be able to regain access to your account after we approve your deletion request."
"I understand and I want to delete my account","I understand and I want to delete my account"
"Agree and Submit request","Agree and Submit request"
"Given Consent","Given Consent"
"Here you can opt in or opt out from consents that were previously given.","Here you can opt in or opt out from consents that were previously given."
"Send Email","Send Email"
"Action Log","Action Log"
"Action logs was successfully removed.","Action logs was successfully removed."
"Consent Log","Consent Log"
"Consent logs was successfully removed.","Consent logs was successfully removed."
"Customers Consents Email Queue","Customers Consents Email Queue"
"%1 customer(s) has been successfully added to email queue","%1 customer(s) has been successfully added to email queue"
"You have successfully deleted the consent","You have successfully deleted the consent"
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"Edit Consent","Edit Consent"
"This consent no longer exists...","This consent no longer exists..."
"New Consent","New Consent"
"Consent Checkboxes","Consent Checkboxes"
"An error has occurred","An error has occurred"
"You saved the consent.","You saved the consent."
"Consent with code %1 already exists.","Consent with code %1 already exists."
"Cookie Policy Consents","Cookie Policy Consents"
"Personal data cannot be anonymised right now, because the customer has non-completed order(s): %1","Personal data cannot be anonymised right now, because the customer has non-completed order(s): %1"
"Personal data cannot be anonymised right now, because the customer has active Gift Registry.","Personal data cannot be anonymised right now, because the customer has active Gift Registry."
"An error has occurred: %1","An error has occurred: %1"
"Personal data cannot be deleted right now, because the customer has non-completed order(s): %1","Personal data cannot be deleted right now, because the customer has non-completed order(s): %1"
"Personal data cannot be deleted right now, because the customer has active Gift Registry.","Personal data cannot be deleted right now, because the customer has active Gift Registry."
"This policy no longer exists.","This policy no longer exists."
"You deleted the policy.","You deleted the policy."
"New Privacy Policy","New Privacy Policy"
"Edit Privacy Policy %1","Edit Privacy Policy %1"
"Privacy Policy","Privacy Policy"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the question.","Something went wrong while saving the question."
"%1 policies(s) has been successfully deleted","%1 policies(s) has been successfully deleted"
"Privacy policy with the same version already exists.","Privacy policy with the same version already exists."
"You saved the item.","You saved the item."
"%1 customer(s) has been successfully deleted","%1 customer(s) has been successfully deleted"
"%1 customer(s) has not been successfully deleted, because they have non-completed order(s)","%1 customer(s) has not been successfully deleted, because they have non-completed order(s)"
"Delete Requests","Delete Requests"
"Deny Delete Requests","Deny Delete Requests"
"An error has occurred. Please check logs for more details","An error has occurred. Please check logs for more details"
"%1 email(s) has been sent","%1 email(s) has been sent"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Access denied.","Access denied."
"Wrong Password. Please recheck it.","Wrong Password. Please recheck it."
"Your delete account request is awaiting for the review by the administrator.","Your delete account request is awaiting for the review by the administrator."
"We can not process your account deletion request right now, because you have active Gift Registry.","We can not process your account deletion request right now, because you have active Gift Registry."
"Thank you, your account delete request was recorded.","Thank you, your account delete request was recorded."
"Something went wrong.","Something went wrong."
"We can not anonymize your account right now, because you have non-completed order(s):%1","We can not anonymize your account right now, because you have non-completed order(s):%1"
