"Category Filter Settings","Category Filter Settings"
"Manage Group Attributes","Manage Group Attributes"
"Add New Group","Add New Group"
"Display Mode","Display Mode"
"Add From-To Widget","Add From-To Widget"
"Range Algorithm","Range Algorithm"
"Range Step","Range Step"
"Set 10 to get ranges 10-20, 20-30, etc.
                        Custom value improves pages speed. Leave empty to get default ranges.","Set 10 to get ranges 10-20, 20-30, etc.
                        Custom value improves pages speed. Leave empty to get default ranges."
"Minimum Slider Value","Minimum Slider Value"
"Please specify the min value to limit the slider, e.g. <$10","Please specify the min value to limit the slider, e.g. <$10"
"Maximum Slider Value","Maximum Slider Value"
"Please specify the max value to limit the slider, e.g. >$999","Please specify the max value to limit the slider, e.g. >$999"
"Slider Step","Slider Step"
"Measure Units","Measure Units"
"Unit Label","Unit Label"
"Position Label","Position Label"
"Hide Zero Decimal","Hide Zero Decimal"
"Show in the Block","Show in the Block"
"Position in Top","Position in Top"
"Specify sorting order in the top navigation block. Current configuration overrides a default attribute's Position setting.","Specify sorting order in the top navigation block. Current configuration overrides a default attribute's Position setting."
"Position in Sidebar","Position in Sidebar"
"Specify sorting order in the sidebar navigation block. Current configuration overrides a default attribute's Position setting.","Specify sorting order in the sidebar navigation block. Current configuration overrides a default attribute's Position setting."
"Sort Options By","Sort Options By"
"Show Product Quantities","Show Product Quantities"
"Show Search Box","Show Search Box"
"Show the searchbox if the number of options more than","Show the searchbox if the number of options more than"
"Customers will be able to search for the filter option in the searchbox.","Customers will be able to search for the filter option in the searchbox."
"Number of Unfolded Options","Number of Unfolded Options"
"Other options will be shown after a customer clicks the ""More"" button.","Other options will be shown after a customer clicks the ""More"" button."
Expand,Expand
"Allows to expand filter automatically right after a page is loaded.
                Set 'Expand for desktop only' to keep filter minimized on mobile. Keep 'Auto' to work
                based on the custom theme functionality.","Allows to expand filter automatically right after a page is loaded.
                Set 'Expand for desktop only' to keep filter minimized on mobile. Keep 'Auto' to work
                based on the custom theme functionality."
