"Save and Continue Edit","Save and Continue Edit"
"More from this Brand","More from this Brand"
"Manage Brand Slider","Manage Brand Slider"
"Edit Improved Navigation Brand Slider","Edit Improved Navigation Brand Slider"
"Improved Navigation Brand Slider","Improved Navigation Brand Slider"
"Something went wrong while editing the brand.","Something went wrong while editing the brand."
CMS,CMS
"Manage Layered Navigation: Brand Management","Manage Layered Navigation: Brand Management"
"Brand Management","Brand Management"
"A total of %1 brand(s) have been added to slider.","A total of %1 brand(s) have been added to slider."
"A total of %1 brand(s) have been removed from slider.","A total of %1 brand(s) have been removed from slider."
Brands,Brands
"Brand Image","Brand Image"
"Make sure that the root category for current store is anchored","Make sure that the root category for current store is anchored"
"Make sure that ""%1"" attribute can be used in layered navigation","Make sure that ""%1"" attribute can be used in layered navigation"
"-- Empty --","-- Empty --"
Disabled,Disabled
Name,Name
Position,Position
No,No
"All Brands page","All Brands page"
"Product page","Product page"
"Listing page","Listing page"
"Display First","Display First"
"Display Last","Display Last"
"Amasty Brands","Amasty Brands"
"Meta Data","Meta Data"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Page Content","Page Content"
"Page Title","Page Title"
Title,Title
Description,Description
"Delete Image","Delete Image"
Image,Image
"Short Description","Short Description"
"Image Alt","Image Alt"
"Image Alt will be used for the brand image on the brand page","Image Alt will be used for the brand image on the brand page"
"Top CMS Block","Top CMS Block"
"Bottom CMS Block","Bottom CMS Block"
"Used in Brands Slider, Product Page Icon & Swatch for Multiselect Attribute.","Used in Brands Slider, Product Page Icon & Swatch for Multiselect Attribute."
"Used as Product Page Icon & Swatch for Multiselect Attribute.","Used as Product Page Icon & Swatch for Multiselect Attribute."
"Small Image Alt will be used for the brand image in brand pop-up, brand slider, on all brands and product pages.","Small Image Alt will be used for the brand image in brand pop-up, brand slider, on all brands and product pages."
"Small Image Alt will be used for the Product Page Icon Image & Swatch Image for Multiselect Attribute.","Small Image Alt will be used for the Product Page Icon Image & Swatch Image for Multiselect Attribute."
Other,Other
"Small Image","Small Image"
"Small Image Alt","Small Image Alt"
"Show in Brand List Widget","Show in Brand List Widget"
"Show in Brand Slider Widget","Show in Brand Slider Widget"
"Position in Slider","Position in Slider"
Edit,Edit
"Search Brands","Search Brands"
"Search brand here...","Search brand here..."
Clear,Clear
"All Brands","All Brands"
"Please select brand attribute in Stores -> Configuration ->
                Amasty Extensions -> Improved Layered Navigation: Brands.","Please select brand attribute in Stores -> Configuration ->
                Amasty Extensions -> Improved Layered Navigation: Brands."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Please select brand attribute in Stores -> Configuration -> Amasty Extensions ->
        Improved Layered Navigation: Brands.","Please select brand attribute in Stores -> Configuration -> Amasty Extensions ->
        Improved Layered Navigation: Brands."
Previous,Previous
Next,Next
"Improved Layered Navigation: Brands","Improved Layered Navigation: Brands"
General,General
"Brand Attribute","Brand Attribute"
"Creates SEO-friendly brand pages. Every page contains all your products filtered by particular brand and contains unique content that you assigned for the option of brand attribute.","Creates SEO-friendly brand pages. Every page contains all your products filtered by particular brand and contains unique content that you assigned for the option of brand attribute."
"URL Key","URL Key"
"Adds a key before brand name in URL like /[key]/brand-name.html.","Adds a key before brand name in URL like /[key]/brand-name.html."
"Choose CMS Page","Choose CMS Page"
"Please make sure the CMS page is enabled (Content -> Elements -> Pages).","Please make sure the CMS page is enabled (Content -> Elements -> Pages)."
"Add Brands Link to Top Menu","Add Brands Link to Top Menu"
"Display Link to All Brands Page in Top Menu.","Display Link to All Brands Page in Top Menu."
"Show Brands List Popup","Show Brands List Popup"
"Enable to display the popup with brands upon hovering over the corresponding top menu link.","Enable to display the popup with brands upon hovering over the corresponding top menu link."
"Brands List Popup Configuration","Brands List Popup Configuration"
"Show Brand Logo","Show Brand Logo"
"Image Max Width, px","Image Max Width, px"
"Image Max Height, px","Image Max Height, px"
Optional.,Optional.
"Enable Filter by Character","Enable Filter by Character"
"Show Characters without Brands","Show Characters without Brands"
"in a Filter by Character.","in a Filter by Character."
"Show Products Quantity","Show Products Quantity"
"Show Brands without Products","Show Brands without Products"
"Please note that this setting may affect performance.","Please note that this setting may affect performance."
"Add Brands to Account Top Links","Add Brands to Account Top Links"
"Display Link to All Brands Page in Account Top Links.","Display Link to All Brands Page in Account Top Links."
"Brands Item Label","Brands Item Label"
"Used in top menu and account links.","Used in top menu and account links."
"Display tooltip","Display tooltip"
"Tooltip content","Tooltip content"
"Possible variables: {title}, {small_image}, {image}, {description}, {short_description}.","Possible variables: {title}, {small_image}, {image}, {description}, {short_description}."
"Exclude Brands without Products from Sitemap","Exclude Brands without Products from Sitemap"
Enable,Enable
