"Canonical link is not visible for NOINDEX pages.","Canonical link is not visible for NOINDEX pages."
"Need help with the setting? Please consult the <a target=""_blank"" href=""%1"">user guide</a> to configure properly.","Need help with the setting? Please consult the <a target=""_blank"" href=""%1"">user guide</a> to configure properly."
"To get these settings working properly please make sure you have enabled the Canonical Meta Tag <a target=""_blank"" href=""%1"">here</a> (Stores > Configuration > Catalog > Search Engine Optimizations).","To get these settings working properly please make sure you have enabled the Canonical Meta Tag <a target=""_blank"" href=""%1"">here</a> (Stores > Configuration > Catalog > Search Engine Optimizations)."
" | Page %1"," | Page %1"
"Do Not Change","Do Not Change"
"Just Url Key","Just Url Key"
"Current URL without GET Parameters","Current URL without GET Parameters"
"First Attribute Value","First Attribute Value"
"Keep current URL","Keep current URL"
"URL Without Filters","URL Without Filters"
"Current URL without Get parameters","Current URL without Get parameters"
"Brand Filter Only","Brand Filter Only"
"URL Key Only","URL Key Only"
No,No
Yes,Yes
"Use Default","Use Default"
Never,Never
"Single Selection Only","Single Selection Only"
Always,Always
Auto,Auto
Generated,Generated
"Not Generated","Not Generated"
SEO,SEO
"Generate SEO URL","Generate SEO URL"
"SEO URL is always generated for the brand.","SEO URL is always generated for the brand."
"Allow Google to INDEX the Category Page with the Filter Applied","Allow Google to INDEX the Category Page with the Filter Applied"
"Allow Google to FOLLOW Links on the Category Page with the Filter Applied","Allow Google to FOLLOW Links on the Category Page with the Filter Applied"
"Add rel='nofollow' to Filter Links","Add rel='nofollow' to Filter Links"
"Add rel='nofollow' to filter links","Add rel='nofollow' to filter links"
"Attribute URL Alias","Attribute URL Alias"
"If left empty, Attribute Code value will be used.","If left empty, Attribute Code value will be used."
"Using the same value for option separation and to replace special characters is outdated and may cause issues.","Using the same value for option separation and to replace special characters is outdated and may cause issues."
"If there are complex options like:'red-white', there will be a problem with single 'red' and 'white' options.","If there are complex options like:'red-white', there will be a problem with single 'red' and 'white' options."
"In some cases such options will not be parsed by SEO URL router.","In some cases such options will not be parsed by SEO URL router."
"We strongly recommend not to use the same symbol for option separation and to replace special characters.","We strongly recommend not to use the same symbol for option separation and to replace special characters."
"See more cases in the User Guide","See more cases in the User Guide"
Attention,Attention
"Improved Layered Navigation: SEO","Improved Layered Navigation: SEO"
"SEO URLs","SEO URLs"
Enable,Enable
"URL will look 'category/autumn.html' instead of 'category.html?season=114'.","URL will look 'category/autumn.html' instead of 'category.html?season=114'."
"SEO-friendly URLs for Attributes (Default Value)","SEO-friendly URLs for Attributes (Default Value)"
"Go to Stores - Attributes - Product - {attribute_name} - Improved Layered Navigation - SEO - Generate SEO URL setting to apply per-attribute fine-tuning.","Go to Stores - Attributes - Product - {attribute_name} - Improved Layered Navigation - SEO - Generate SEO URL setting to apply per-attribute fine-tuning."
"Include Attribute Code","Include Attribute Code"
"Filter Key","Filter Key"
"Add Suffix to the Brand Pages and All-products Pages","Add Suffix to the Brand Pages and All-products Pages"
"To configure the 'Category URL Suffix' setting please go to Configuration - Catalog - Catalog - Search Engine Optimization - Category URL Suffix. FYI on the category pages the suffix is added regardless of this setting.","To configure the 'Category URL Suffix' setting please go to Configuration - Catalog - Catalog - Search Engine Optimization - Category URL Suffix. FYI on the category pages the suffix is added regardless of this setting."
"Replace Special Characters With","Replace Special Characters With"
"Separate Attribute Options With","Separate Attribute Options With"
"For example, if a customer selects 3 options for the attribute `color`, the URL will look like http://example.com/red-green-blue.html.","For example, if a customer selects 3 options for the attribute `color`, the URL will look like http://example.com/red-green-blue.html."
"Robots Tag Control","Robots Tag Control"
"Allow the Module to Modify Robots Meta Tag","Allow the Module to Modify Robots Meta Tag"
"Use ""No"" for compatibility with other SEO extensions.","Use ""No"" for compatibility with other SEO extensions."
"Noindex when Multiple Attribute Filters Applied","Noindex when Multiple Attribute Filters Applied"
"Automatically Add rel=""nofollow"" to Filter Links when Required","Automatically Add rel=""nofollow"" to Filter Links when Required"
"Please refer per-filter settings to make exclusions.","Please refer per-filter settings to make exclusions."
"Noindex for Paginated Pages","Noindex for Paginated Pages"
"Canonical URL","Canonical URL"
"Category Pages","Category Pages"
"Set the structure of canonical urls for category pages.","Set the structure of canonical urls for category pages."
"Brand Pages","Brand Pages"
"""all-product"" Page","""all-product"" Page"
"Pagination Settings","Pagination Settings"
"Use Prev/Next Tags for Improved Navigation Pages","Use Prev/Next Tags for Improved Navigation Pages"
"Set 'Yes' to use rel=“next” and rel=“prev” tags and point Google where the next or the previous pages are. Please click <a target=""blank"" href=""https://webmasters.googleblog.com/2011/09/pagination-with-relnext-and-relprev.html"">here</a> to learn more details.","Set 'Yes' to use rel=“next” and rel=“prev” tags and point Google where the next or the previous pages are. Please click <a target=""blank"" href=""https://webmasters.googleblog.com/2011/09/pagination-with-relnext-and-relprev.html"">here</a> to learn more details."
"Add Page Number to Meta Title","Add Page Number to Meta Title"
"Adds the Page Number at the end of the Meta Title, e.g. 'Apparel | Page 5'","Adds the Page Number at the end of the Meta Title, e.g. 'Apparel | Page 5'"
"Add Page Number to Meta Description","Add Page Number to Meta Description"
"Adds the Page Number at the end of the Meta Description, e.g. 'Apparel Description | Page 5'","Adds the Page Number at the end of the Meta Description, e.g. 'Apparel Description | Page 5'"
