"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Please kindly keep in mind that Apple guidelines require rectangular shape of the sign-in button. We strongly recommend to make the appropriate changes in Login Buttons Shape setting.","Please kindly keep in mind that Apple guidelines require rectangular shape of the sign-in button. We strongly recommend to make the appropriate changes in Login Buttons Shape setting."
"Additional Social Login package is not installed or need to be updated. Please, run the following command in the SSH: composer require hybridauth/hybridauth:~3.8.0","Additional Social Login package is not installed or need to be updated. Please, run the following command in the SSH: composer require hybridauth/hybridauth:~3.8.0"
"The Key used for Apple ID authorization has expired. Please timely update all necessary API credentials to guarantee proper further functioning.","The Key used for Apple ID authorization has expired. Please timely update all necessary API credentials to guarantee proper further functioning."
"The Key used for Apple ID authorization expires %1. Please timely update all necessary API credentials to guarantee proper further functioning.","The Key used for Apple ID authorization expires %1. Please timely update all necessary API credentials to guarantee proper further functioning."
"You are now logged out.","You are now logged out."
"My Social Accounts","My Social Accounts"
"Your site is configured to use HTTP connection and Facebook API does not allow it for login. Please configure HTTPS connection for your site.","Your site is configured to use HTTP connection and Facebook API does not allow it for login. Please configure HTTPS connection for your site."
"Popup Registration Form","Popup Registration Form"
"Social Login","Social Login"
"Provided argument is not in PSR-0 or underscore notation.","Provided argument is not in PSR-0 or underscore notation."
"Sorry. We cannot find social type. Please try again later.","Sorry. We cannot find social type. Please try again later."
"Sorry. We cannot find your email. Please enter email in your %1 profile.","Sorry. We cannot find your email. Please enter email in your %1 profile."
"Sorry. We cannot connect to this social profile. It is used for another site account.","Sorry. We cannot connect to this social profile. It is used for another site account."
"You have successfully logged in using your %1 account.","You have successfully logged in using your %1 account."
"Please check Callback Url in social app configuration","Please check Callback Url in social app configuration"
"An unspecified error occurred. Please try again later.","An unspecified error occurred. Please try again later."
"Sorry. We cannot find your email. Please sign in, enter My Account ->
                        My Social Accounts tab and link your %1 Social Account.","Sorry. We cannot find your email. Please sign in, enter My Account ->
                        My Social Accounts tab and link your %1 Social Account."
"We can`t get customer email from your social account.","We can`t get customer email from your social account."
"The account is locked.","The account is locked."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"We have created new store account using your email address.","We have created new store account using your email address."
"The registration process is almost completed! Please kindly fill out a few more fields to finish it.","The registration process is almost completed! Please kindly fill out a few more fields to finish it."
"An unspecified error occurred during creating new customer.","An unspecified error occurred during creating new customer."
"Please read and accept the privacy policy","Please read and accept the privacy policy"
"Unable to save sales with ID %1. Error: %2","Unable to save sales with ID %1. Error: %2"
