"Save and Continue Edit","Save and Continue Edit"
"Edit Order Attribute ""%1""","Edit Order Attribute ""%1"""
"New Order Attribute","New Order Attribute"
"Depend Attributes","Depend Attributes"
None,None
No,No
Yes,Yes
"Select a parent field","Select a parent field"
"Depend on options","Depend on options"
"Select the following options to show  this current attribute","Select the following options to show  this current attribute"
"Depend on shipping methods","Depend on shipping methods"
"This attribute will be shown depending on selected shipping method(s).<br/>Hold down ctrl key while clicking to deselect an option.","This attribute will be shown depending on selected shipping method(s).<br/>Hold down ctrl key while clicking to deselect an option."
"Depend on countries","Depend on countries"
Countries,Countries
"Frontend Properties","Frontend Properties"
Position,Position
"Compatible with <a href=""%1"" target=""_blank"">One Step Checkout</a>","Compatible with <a href=""%1"" target=""_blank"">One Step Checkout</a>"
"Use Tooltip","Use Tooltip"
"Enter tooltips in Manage Labels / Options tab","Enter tooltips in Manage Labels / Options tab"
"Store View","Store View"
"Customer Group","Customer Group"
"Add to Sales Order View","Add to Sales Order View"
"Select <b>Yes</b> to add this attribute to the Order View Page (include PDF printout).","Select <b>Yes</b> to add this attribute to the Order View Page (include PDF printout)."
"Sort Order","Sort Order"
"The priority of attributes display. The smallest (0) is the top priority.","The priority of attributes display. The smallest (0) is the top priority."
Properties,Properties
"Default Label","Default Label"
"Default label","Default label"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols.","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols."
"Input Type","Input Type"
"Maximum File Size","Maximum File Size"
"File size in bytes. The maximum allowed file size is 2000000 bytes","File size in bytes. The maximum allowed file size is 2000000 bytes"
"Allow File Formats","Allow File Formats"
"File size in bytes.","File size in bytes."
"Separated by comma(,). Example pdf,doc,zip,jpg,png,gif,jpeg","Separated by comma(,). Example pdf,doc,zip,jpg,png,gif,jpeg"
"Default Value","Default Value"
"Minimum Value","Minimum Value"
"Maximum Value","Maximum Value"
"Minimum Text Length","Minimum Text Length"
"Maximum Text Length","Maximum Text Length"
"Select CMS Block","Select CMS Block"
"Values Required","Values Required"
"Input Validation","Input Validation"
"Input/Output Filter","Input/Output Filter"
"Add to Sales Order Grid","Add to Sales Order Grid"
"Column(s) will be added to column options, filter options & search options of Sales Order Grid.","Column(s) will be added to column options, filter options & search options of Sales Order Grid."
"Add to PDF Files","Add to PDF Files"
"How to add to PDF Invoice","How to add to PDF Invoice"
"Add to Confirmation Emails","Add to Confirmation Emails"
"How to insert to Transactional Emails","How to insert to Transactional Emails"
"Select All","Select All"
"Attribute Information","Attribute Information"
"Manage Labels/Options","Manage Labels/Options"
"Please select an option","Please select an option"
"Edit Form ""%1""","Edit Form ""%1"""
"New Form","New Form"
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
Conditions,Conditions
