"Save & Send Test Email","Save & Send Test Email"
"This email template no longer exists.","This email template no longer exists."
"You saved the email template.","You saved the email template."
"Inherit (from its parent)","Inherit (from its parent)"
sans-serif,sans-serif
serif,serif
"Email First Line","Email First Line"
%1,%1
"Template Variables","Template Variables"
"Send Test Email To: ","Send Test Email To: "
"Load default template","Load default template"
Template,Template
"Are you sure you want to strip tags?","Are you sure you want to strip tags?"
"Please enter a valid email address.","Please enter a valid email address."
"The test email was sent to: ","The test email was sent to: "
"The template did not load: ","The template did not load: "
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
Images,Images
Items,Items
Qty,Qty
Subtotal,Subtotal
"WHAT’S INSIDE","WHAT’S INSIDE"
ITEMS,ITEMS
Price,Price
"Gift Message for this Order","Gift Message for this Order"
From:,From:
To:,To:
Message:,Message:
SKU,SKU
Item,Item
download,download
"Gift Message","Gift Message"
"Qty: ","Qty: "
"Shipped By","Shipped By"
"Tracking Number","Tracking Number"
"Update to your %store_name credit memo","Update to your %store_name credit memo"
"Hi %name,","Hi %name,"
"ORDER %order_status","ORDER %order_status"
"ORDER NUMBER: #%increment_id.","ORDER NUMBER: #%increment_id."
"Your order has been updated.","Your order has been updated."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"ORDER NUMBER: %increment_id.","ORDER NUMBER: %increment_id."
"You can check the status of your order by logging into <a href=""%account_url"">your account</a>.","You can check the status of your order by logging into <a href=""%account_url"">your account</a>."
"VIEW ORDER","VIEW ORDER"
"Please confirm your %store_name account","Please confirm your %store_name account"
"You're almost in :)","You're almost in :)"
"Your need to confirm your email.","Your need to confirm your email."
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"CONFIRM YOUR ACCOUNT","CONFIRM YOUR ACCOUNT"
"Welcome to %store_name","Welcome to %store_name"
"You're in :)","You're in :)"
"Your account is now active.","Your account is now active."
"To sign in, use these credentials during checkout or when logging into <a href=""%customer_url"">your account</a>.","To sign in, use these credentials during checkout or when logging into <a href=""%customer_url"">your account</a>."
Email:,Email:
Password:,Password:
"Password you set when creating account","Password you set when creating account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it."
"START SHOPPING","START SHOPPING"
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>.","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>."
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"Hello,","Hello,"
"Do you want to change your email/password?","Do you want to change your email/password?"
"Okay, we’re cool with that.","Okay, we’re cool with that."
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
