"Shopping Cart","ตะกร้าสินค้า"
"Invalid method: %1","วิธีการที่ไม่ถูกต้อง:%1"
"City","เมือง"
"Country","ประเทศ"
"State/Province","จังหวัด"
"Zip/Postal Code","รหัสไปรษณีย์"
"My Cart (1 item)","ตะกร้าสินค้าของฉัน (1 รายการ)"
"My Cart (%1 items)","ตะกร้าสินค้าของฉัน (%1 รายการ)"
"My Cart","ตะกร้าสินค้าของฉัน"
"For delivery questions.","คำถามสำหรับการจัดส่ง"
"Customer is already registered","ลูกค้ามีการลงทะเบียนแล้ว"
"Your session has expired","เซสชันสิ้นสุดลงแล้ว "
"A letter with further instructions will be sent to your email.","จดหมายพร้อมกับคำแนะนำต่อไปจะถูกส่งไปยังอีเมลของคุณ"
"You added %1 to your shopping cart.","คุณเพิ่ม%1 ในตะกร้าสินค้าของคุณ"
"We can't add this item to your shopping cart right now.","เราไม่สามารถเพิ่มรายการนี้ไปยังตะกร้าสินค้าของคุณในขณะนี้"
"Out of stock","สินค้าหมด"
"We can't find the quote item.","เราไม่สามารถหารายการสินค้าได้"
"We cannot configure the product.","เราไม่สามารถกำหนดค่าสินค้า"
"You used coupon code ""%1"".","คุณรหัสคูปองที่ใช้ ""%1"""
"The coupon code ""%1"" is not valid.","รหัสคูปอง ""%1"" ไม่ถูกต้อง"
"You canceled the coupon code.","คุณได้ยกเลิกรหัสคูปอง"
"We cannot apply the coupon code.","เราไม่สามารถใช้รหัสคูปอง"
"We can't remove the item.","เราไม่สามารถลบรายการ"
"%1 was updated in your shopping cart.","%1 ได้รับการปรับปรุงในตะกร้าสินค้าของคุณ"
"We can't update the item right now.","เราไม่สามารถอัปเดตรายการในขณะนี้"
"We can't update the shopping cart.","เราไม่สามารถปรับปรุงตะกร้าสินค้า"
"One-page checkout is turned off.","การชำระเงินแบบหน้าเดียวถูกปิด"
"Guest checkout is disabled.","การชำระเงินโดยผู้ที่ไม่เป็นสมาชิกไม่สามารถใช้งานได้"
"Checkout","ชำระเงิน"
"Page not found.","ไม่พบหน้านี้."
"Please agree to all the terms and conditions before placing the order.","โปรดยอมรับข้อตกลงและเงื่อนไขทั้งหมดก่อนที่จะวางคำสั่งซื้อ"
